Spanish,English
hola,hello
adiós,goodbye
por favor,please
gracias,thank you
sí,yes
no,no
hombre,man
mujer,woman
niño,child
día,day
cosa,thing
tiempo,time
persona,person
año,year
camino,way
forma,form
parte,part
vida,life
mano,hand
ojo,eye
lugar,place
trabajo,work
semana,week
caso,case
punto,point
gobierno,government
empresa,company
número,number
grupo,group
problema,problem
hecho,fact
beber,drink
comer,eat
vivir,live
tener,have
hacer,do
decir,say
ir,go
ver,see
dar,give
saber,know
querer,want
llegar,arrive
pasar,happen
deber,must
poner,put
parecer,seem
quedar,stay
creer,believe
hablar,speak
llevar,carry
dejar,leave
seguir,follow
encontrar,find
llamar,call
venir,come
pensar,think
salir,leave
volver,return
tomar,take
conocer,meet
vivir,live
sentir,feel
tratar,try
mirar,look
contar,count
empezar,start
esperar,wait
buscar,search
existir,exist
entrar,enter
trabajar,work
escribir,write
perder,lose
producir,produce
ocurrir,occur
entender,understand
pedir,ask
recibir,receive
recordar,remember
terminar,finish
permitir,allow
aparecer,appear
conseguir,get
comenzar,begin
servir,serve
sacar,take out
necesitar,need
mantener,maintain
resultar,result
leer,read
caer,fall
cambiar,change
presentar,present
crear,create
abrir,open
considerar,consider
oír,hear
acabar,finish
convertir,convert
ganar,win
formar,form
traer,bring
partir,leave
morir,die
aceptar,accept
realizar,carry out
suponer,suppose
comprender,understand
lograr,achieve
explicar,explain
preguntar,ask
tocar,touch
reconocer,recognize
estudiar,study
alcanzar,reach
nacer,be born
dirigir,direct
correr,run
utilizar,use
pagar,pay
ayudar,help
gustar,like
jugar,play
escuchar,listen
cumplir,fulfill
ofrecer,offer
descubrir,discover
levantar,raise
intentar,try
usar,use
decidir,decide
repetir,repeat
olvidar,forget
mostrar,show
enseñar,teach
cerrar,close
comprar,buy
vender,sell
romper,break
aprender,learn
ganar,earn
pertenecer,belong
probar,try
ocupar,occupy
defender,defend
correr,run
viajar,travel
sentar,sit
sufrir,suffer
volver,return
entrar,enter
beber,drink
caminar,walk
amar,love
odiar,hate
abrir,open
cerrar,close
subir,go up
bajar,go down
grande,big
pequeño,small
nuevo,new
viejo,old
bueno,good
malo,bad
alto,tall
bajo,short
largo,long
corto,short
rápido,fast
lento,slow
caliente,hot
frío,cold
fácil,easy
difícil,difficult
fuerte,strong
débil,weak
rico,rich
pobre,poor
claro,clear
oscuro,dark
cerca,near
lejos,far
lleno,full
vacío,empty
caro,expensive
barato,cheap
bonito,beautiful
feo,ugly
feliz,happy
triste,sad
nuevo,new
antiguo,ancient
blanco,white
negro,black
rojo,red
azul,blue
verde,green
amarillo,yellow
uno,one
dos,two
tres,three
cuatro,four
cinco,five
seis,six
siete,seven
ocho,eight
nueve,nine
diez,ten
primero,first
segundo,second
tercero,third
siempre,always
nunca,never
a veces,sometimes
ya,already
todavía,still
muy,very
más,more
menos,less
bien,well
mal,badly
aquí,here
allí,there
donde,where
cuando,when
como,how
porque,because
aunque,although
pero,but
y,and
o,or
si,if
entonces,then
también,also
solo,only
mismo,same
otro,other
mucho,much
poco,little
todo,all
nada,nothing
algo,something
alguien,someone
nadie,nobody
cada,each
otro,another
tal,such
tan,so
tanto,so much
mientras,while
después,after
antes,before
durante,during
desde,since
hasta,until
contra,against
entre,between
sin,without
sobre,about
para,for
con,with
de,of
en,in
a,to
por,by
casa,house
escuela,school
ciudad,city
país,country
familia,family
amigo,friend
padre,father
madre,mother
hermano,brother
hermana,sister
hijo,son
hija,daughter
comida,food
agua,water
pan,bread
carne,meat
leche,milk
café,coffee
té,tea
dinero,money
libro,book
mesa,table
silla,chair
puerta,door
ventana,window
coche,car
calle,street
camino,path
tienda,shop
mercado,market
hospital,hospital
oficina,office
parque,park
playa,beach
montaña,mountain
río,river
mar,sea
aire,air
fuego,fire
tierra,earth
cielo,sky
sol,sun
luna,moon
estrella,star
tiempo,weather
lluvia,rain
nieve,snow
viento,wind
calor,heat
frío,cold
día,day
noche,night
mañana,morning
tarde,afternoon
hora,hour
minuto,minute
segundo,second